序号,CIDR归属厂商,CIDR归属地,CIDR,IP数量,IP列表
11,"Cloudflare, Inc.",美国 佛罗里达州 迈阿密,198.41.218.0/24,25,198.41.218.166;198.41.218.157;198.41.218.15;198.41.218.164;198.41.218.95;198.41.218.34;198.41.218.48;198.41.218.71;198.41.218.85;198.41.218.28;198.41.218.242;198.41.218.210;198.41.218.191;198.41.218.33;198.41.218.32;198.41.218.27;198.41.218.245;198.41.218.207;198.41.218.178;198.41.218.97;198.41.218.202;198.41.218.192;198.41.218.145;198.41.218.84;198.41.218.153
12,"Cloudflare, Inc.",美国 弗吉尼亚州 阿什本,162.159.38.0/24,24,162.159.38.48;162.159.38.7;162.159.38.53;162.159.38.34;162.159.38.26;162.159.38.239;162.159.38.51;162.159.38.77;162.159.38.103;162.159.38.33;162.159.38.82;162.159.38.97;162.159.38.227;162.159.38.158;162.159.38.85;162.159.38.146;162.159.38.62;162.159.38.130;162.159.38.11;162.159.38.156;162.159.38.14;162.159.38.79;162.159.38.21;162.159.38.59
13,Geikohost LLC,荷兰 北荷兰省 阿姆斯特丹,23.168.72.0/24,20,23.168.72.219;23.168.72.17;23.168.72.71;23.168.72.227;23.168.72.93;23.168.72.118;23.168.72.169;23.168.72.69;23.168.72.44;23.168.72.194;23.168.72.21;23.168.72.23;23.168.72.139;23.168.72.143;23.168.72.41;23.168.72.215;23.168.72.190;23.168.72.250;23.168.72.115;23.168.72.85
14,Virterion LLC,荷兰 南荷蘭省 Naaldwijk,62.171.228.0/24,15,62.171.228.103;62.171.228.167;62.171.228.207;62.171.228.94;62.171.228.56;62.171.228.242;62.171.228.38;62.171.228.177;62.171.228.152;62.171.228.235;62.171.228.60;62.171.228.65;62.171.228.127;62.171.228.146;62.171.228.112
15,"Cloudflare, Inc.",加拿大 安大略 多伦多,172.64.78.0/24,15,172.64.78.68;172.64.78.29;172.64.78.175;172.64.78.0;172.64.78.231;172.64.78.109;172.64.78.35;172.64.78.143;172.64.78.230;172.64.78.31;172.64.78.58;172.64.78.236;172.64.78.30;172.64.78.200;172.64.78.127
16,Madlen Paposhvili,德国 萨克森自由州 Falkenstein,88.198.82.0/24,13,88.198.82.158;88.198.82.156;88.198.82.148;88.198.82.152;88.198.82.155;88.198.82.151;88.198.82.154;88.198.82.157;88.198.82.146;88.198.82.145;88.198.82.149;88.198.82.153;88.198.82.147
17,"Cloudflare, Inc.",加拿大 安大略 多伦多,104.16.148.0/24,13,104.16.148.1;104.16.148.9;104.16.148.4;104.16.148.10;104.16.148.12;104.16.148.5;104.16.148.6;104.16.148.2;104.16.148.7;104.16.148.8;104.16.148.244;104.16.148.11;104.16.148.3
18,"Cloudflare, Inc.",加拿大 安大略 多伦多,104.16.149.0/24,13,104.16.149.8;104.16.149.9;104.16.149.10;104.16.149.1;104.16.149.4;104.16.149.6;104.16.149.11;104.16.149.3;104.16.149.5;104.16.149.244;104.16.149.7;104.16.149.2;104.16.149.12
19,Greenhost BV,德国 黑森州 法兰克福,158.173.195.0/24,13,158.173.195.154;158.173.195.8;158.173.195.219;158.173.195.194;158.173.195.68;158.173.195.89;158.173.195.121;158.173.195.175;158.173.195.227;158.173.195.208;158.173.195.137;158.173.195.166;158.173.195.35
20,IT Hostline Ltd,法国 法兰西岛 昂热维利耶尔,179.255.188.0/24,13,179.255.188.80;179.255.188.96;179.255.188.88;179.255.188.91;179.255.188.89;179.255.188.93;179.255.188.92;179.255.188.90;179.255.188.94;179.255.188.97;179.255.188.48;179.255.188.95;179.255.188.78
